Postcode,Council+Other Social (Count),Council+Other Social (%),Owned (Count),Owned (%),Shared Ownership (Count),Shared Ownership (%),Private Landlord (Count),Private Landlord (%)
CF24 3FX,63,58.33%,31,28.70%,4,3.70%,8,7.41%
CF24 3FS,63,58.33%,31,28.70%,4,3.70%,8,7.41%
CF24 3TQ,63,58.33%,31,28.70%,4,3.70%,0,0.00%
CF24 3DJ,63,58.33%,31,28.70%,4,3.70%,0,0.00%
CF24 3EQ,74,43.53%,30,17.65%,0,0.00%,60,35.29%
CF24 3RG,74,43.53%,30,17.65%,0,0.00%,0,0.00%
CF24 3QW,74,43.53%,30,17.65%,0,0.00%,0,0.00%
CF24 3QR,74,43.53%,30,17.65%,0,0.00%,0,0.00%
CF24 3QL,74,43.53%,30,17.65%,0,0.00%,0,0.00%
CF24 3AW,77,43.02%,9,5.03%,1,0.56%,91,50.84%
CF24 3AU,77,43.02%,9,5.03%,1,0.56%,91,50.84%
CF24 3AP,77,43.02%,9,5.03%,1,0.56%,91,50.84%
CF24 3AH,77,43.02%,9,5.03%,1,0.56%,91,50.84%
CF24 3AG,77,43.02%,9,5.03%,1,0.56%,91,50.84%
CF24 3AF,77,43.02%,9,5.03%,1,0.56%,91,50.84%
CF24 3XL,77,43.02%,9,5.03%,1,0.56%,0,0.00%
CF24 3SP,60,41.67%,42,29.17%,0,0.00%,0,0.00%
CF24 3RL,60,41.67%,42,29.17%,0,0.00%,0,0.00%
CF24 3RJ,60,41.67%,42,29.17%,0,0.00%,0,0.00%
CF24 3RH,60,41.67%,42,29.17%,0,0.00%,0,0.00%
CF24 3QU,60,41.67%,42,29.17%,0,0.00%,0,0.00%
CF24 3QT,60,41.67%,42,29.17%,0,0.00%,0,0.00%
CF24 3QS,60,41.67%,42,29.17%,0,0.00%,0,0.00%
CF24 3QH,60,41.67%,42,29.17%,0,0.00%,0,0.00%
CF24 3NY,43,31.39%,54,39.42%,0,0.00%,0,0.00%
CF24 3FT,49,29.70%,62,37.58%,0,0.00%,50,30.30%
CF24 3FR,49,29.70%,62,37.58%,0,0.00%,50,30.30%
CF24 3FQ,49,29.70%,62,37.58%,0,0.00%,50,30.30%
CF24 3FP,49,29.70%,62,37.58%,0,0.00%,50,30.30%
CF24 3FN,49,29.70%,62,37.58%,0,0.00%,50,30.30%
CF24 3FL,49,29.70%,62,37.58%,0,0.00%,50,30.30%
CF24 3FD,49,29.70%,62,37.58%,0,0.00%,50,30.30%
CF24 3EF,49,29.70%,62,37.58%,0,0.00%,50,30.30%
CF24 3DX,49,29.70%,62,37.58%,0,0.00%,0,0.00%
CF24 3DU,49,29.70%,62,37.58%,0,0.00%,0,0.00%
CF24 3DT,49,29.70%,62,37.58%,0,0.00%,0,0.00%
CF24 3SB,57,27.94%,46,22.55%,0,0.00%,0,0.00%
CF24 3RW,57,27.94%,46,22.55%,0,0.00%,0,0.00%
CF24 3RU,57,27.94%,46,22.55%,0,0.00%,0,0.00%
CF24 3QF,57,27.94%,46,22.55%,0,0.00%,0,0.00%
CF24 3PY,57,27.94%,46,22.55%,0,0.00%,0,0.00%
CF24 3NT,57,27.94%,46,22.55%,0,0.00%,0,0.00%
CF24 3YB,40,23.81%,94,55.95%,2,1.19%,0,0.00%
CF24 3WN,40,23.81%,94,55.95%,2,1.19%,0,0.00%
CF24 3BR,42,21.43%,11,5.61%,3,1.53%,134,68.37%
CF24 3AY,42,21.43%,11,5.61%,3,1.53%,134,68.37%
CF24 3AR,42,21.43%,11,5.61%,3,1.53%,134,68.37%
CF24 3AL,42,21.43%,11,5.61%,3,1.53%,134,68.37%
CF24 3BY,42,21.43%,11,5.61%,3,1.53%,0,0.00%
CF24 3BU,42,21.43%,11,5.61%,3,1.53%,0,0.00%
CF24 3FG,23,20.91%,31,28.18%,0,0.00%,55,50.00%
CF24 3RE,23,20.91%,31,28.18%,0,0.00%,0,0.00%
CF24 3QX,23,20.91%,31,28.18%,0,0.00%,0,0.00%
CF24 3SN,42,19.53%,45,20.93%,0,0.00%,0,0.00%
CF24 3RD,42,19.53%,45,20.93%,0,0.00%,0,0.00%
CF24 3QP,42,19.53%,45,20.93%,0,0.00%,0,0.00%
CF24 3QN,42,19.53%,45,20.93%,0,0.00%,0,0.00%
CF24 3QJ,42,19.53%,45,20.93%,0,0.00%,0,0.00%
CF24 3PZ,18,18.00%,16,16.00%,0,0.00%,0,0.00%
CF24 3PU,18,18.00%,16,16.00%,0,0.00%,0,0.00%
CF24 3ER,29,16.11%,45,25.00%,1,0.56%,103,57.22%
CF24 3EH,29,16.11%,45,25.00%,1,0.56%,103,57.22%
CF24 3ED,29,16.11%,45,25.00%,1,0.56%,103,57.22%
CF24 3BL,29,16.11%,45,25.00%,1,0.56%,103,57.22%
CF24 3DW,29,16.11%,45,25.00%,1,0.56%,0,0.00%
CF24 3DQ,29,16.11%,45,25.00%,1,0.56%,0,0.00%
CF24 3DN,29,16.11%,45,25.00%,1,0.56%,0,0.00%
CF24 3DF,29,16.11%,45,25.00%,1,0.56%,0,0.00%
CF24 3DD,29,16.11%,45,25.00%,1,0.56%,0,0.00%
CF24 3BZ,29,16.11%,45,25.00%,1,0.56%,0,0.00%
CF24 3RB,22,15.83%,67,48.20%,0,0.00%,0,0.00%
CF24 3QZ,22,15.83%,67,48.20%,0,0.00%,0,0.00%
CF24 3QY,22,15.83%,67,48.20%,0,0.00%,0,0.00%
CF24 3QQ,22,15.83%,67,48.20%,0,0.00%,0,0.00%
CF24 3EA,22,15.83%,67,48.20%,0,0.00%,0,0.00%
CF24 3DZ,22,15.83%,67,48.20%,0,0.00%,0,0.00%
CF24 3DY,22,15.83%,67,48.20%,0,0.00%,0,0.00%
CF24 3BN,23,15.23%,28,18.54%,1,0.66%,93,61.59%
CF24 3BG,23,15.23%,28,18.54%,1,0.66%,93,61.59%
CF24 3BE,23,15.23%,28,18.54%,1,0.66%,93,61.59%
CF24 3BD,23,15.23%,28,18.54%,1,0.66%,93,61.59%
CF24 3AT,23,15.23%,28,18.54%,1,0.66%,93,61.59%
CF24 3UR,23,15.23%,28,18.54%,1,0.66%,0,0.00%
CF24 3DG,23,15.23%,28,18.54%,1,0.66%,0,0.00%
CF24 3DB,23,15.23%,28,18.54%,1,0.66%,0,0.00%
CF24 3DA,23,15.23%,28,18.54%,1,0.66%,0,0.00%
CF24 3HS,13,10.74%,47,38.84%,0,0.00%,0,0.00%
CF24 3HR,13,10.74%,47,38.84%,0,0.00%,0,0.00%
CF24 3HN,13,10.74%,47,38.84%,0,0.00%,0,0.00%
CF24 3HJ,13,10.74%,47,38.84%,0,0.00%,0,0.00%
CF24 3DR,13,10.74%,47,38.84%,0,0.00%,0,0.00%
CF24 3LB,14,10.37%,44,32.59%,0,0.00%,75,55.56%
CF24 3JW,14,10.37%,44,32.59%,0,0.00%,75,55.56%
CF24 3JS,14,10.37%,44,32.59%,0,0.00%,75,55.56%
CF24 3HX,14,10.37%,44,32.59%,0,0.00%,0,0.00%
CF24 3HW,14,10.37%,44,32.59%,0,0.00%,0,0.00%
CF24 3PX,17,10.30%,10,6.06%,0,0.00%,0,0.00%
CF24 3PW,17,10.30%,10,6.06%,0,0.00%,0,0.00%
CF24 3FH,14,10.29%,18,13.24%,0,0.00%,103,75.74%
CF24 3PH,14,10.29%,18,13.24%,0,0.00%,0,0.00%
CF24 3PF,14,10.29%,18,13.24%,0,0.00%,0,0.00%
CF24 3NU,14,10.29%,18,13.24%,0,0.00%,0,0.00%
CF24 3HG,12,10.00%,58,48.33%,0,0.00%,0,0.00%
